tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58593.34777780017,"839347773215015029",2,839347773215,19.1516,1,839,1.31776,19.6157,18.085783,"",19.4224,"",0.309729,0.059443157,0.07568599,0.4745,"",217.0476592,16.4811351,0.612857,"t15_f5_c3","",19.2236,0.5072,"",false,true,false,"","bulk_1.0.0",0,840291350515015000
"ztf",58594.29135419987,"840291350515015003",1,840291350515,19.163723,1,840,0.43348902,19.328148,18.370705,"",19.3578,"",0.1852808,0.07285087,0.0767102,0.3872,"",217.0473826,16.4810445,0.73714286,"t15_f5_c3",0,19.7455,0.7108,580120105,false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58597.2911111,"843291110515015013",1,843291110515,20.607555,1,843,0.58658296,19.837904,18.553728,"",19.763,"",0.18861842,0.0503189,0.057798114,0.1665,"",217.0474908,16.481071,0.74,"t15_f5_c3",0,19.6573,0.1915,580120105,false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58597.360625000205,"843360620515015008",2,843360620515,20.409264,1,843,0.74651825,19.686712,18.186127,"",20.297,"",0.21693939,100,0.054463357,0.4027,"",217.047428,16.4810819,0.70857143,"t15_f5_c3",0,20.1373,0.4431,580120205,false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58602.31482640002,"848314820515015007",2,848314820515,20.325651,1,848,0.9019633,19.53677,18.146492,"",19.2001,"",0.15997423,100,0.044456903,0.1223,"",217.0474913,16.4810851,0.48,"t15_f5_c3",0,19.1125,0.1425,580120205,false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58612.23026619991,"858230260515015010",2,858230260515,20.788036,1,858,0.81620425,20.190529,18.292355,"",20.201,"",0.16468504,100,0.028667148,0.2633,"",217.0474317,16.4810544,0.7814286,"t15_f5_c3",0,20.344,0.3785,580120205,false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58616.23347220011,"862233470515015001",1,862233470515,19.903,1,862,0.625245,20.1253,18.633997,"",20.2649,"",0.240482,0.052634362,0.06089223,0.5188,"",217.047435,16.481009,0.815714,"t15_f5_c3","",20.1389,0.5924,"",false,true,false,"","bulk_1.0.0",0,862297170515015000
"ztf",58616.29717590008,"862297170515015005",2,862297170515,20.183043,1,862,0.7072191,19.932352,18.24277,"",20.0715,"",0.1748796,100,0.036889788,0.3879,"",217.0474232,16.4810866,0.85714287,"t15_f5_c3",0,20.0509,0.4859,580120205,true,true,false,"","bulk_1.0.0",0,0
"ztf",58881.50505790021,"1127505050515015002",1,1127505050515,20.674181,1,1127,0.46963903,19.111822,18.275862,"",19.1039,"",0.103206374,0.042415164,0.047788363,0.091,"",217.0474565,16.4810808,0.96428573,"t17_f5_c3",0.9999958,19.1254,0.117,580120105,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58881.526458300184,"1127526450515015003",2,1127526450515,20.62938,1,1127,0.79349893,18.923126,17.938505,"",18.8595,"",0.09312274,100,0.037601683,0.087,"",217.0474551,16.4810893,0.9657143,"t17_f5_c3",0.99999946,18.8642,0.11,580120205,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58884.46358799981,"1130463580515015002",1,1130463580515,19.85223,1,1130,0.3431011,19.326927,18.3702,"",19.446,"",0.16331725,0.06325656,0.067661375,0.1871,"",217.0474244,16.4810997,0.87142855,"t17_f5_c3",0.99976695,19.4979,0.2506,580120105,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58884.54159720009,"1130541590515015002",2,1130541590515,19.857992,1,1130,0.7646193,18.52258,17.758656,"",18.6075,"",0.1029051,0.035106968,0.050917562,0.0964,"",217.0474207,16.4810648,0.9557143,"t17_f5_c3",0.9999983,18.6321,0.1253,580120205,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58898.45854170015,"1144458540515015010",1,1144458540515,20.782028,1,1144,0.5044012,20.193092,18.650768,"",20.271,"",0.18018411,0.030462146,0.043529786,0.2297,"",217.0474597,16.4810734,0.94,"t17_f5_c3",0.99854,20.3392,0.3094,580120105,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58898.49983800016,"1144499830515015007",2,1144499830515,20.679024,1,1144,0.9446076,20.311472,18.312462,"",20.6201,"",0.1650502,100,0.026182568,0.4087,"",217.0474991,16.4810784,0.91571426,"t17_f5_c3",0.99999845,20.5135,0.4698,580120205,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58903.45862270007,"1149458620515015003",2,1149458620515,20.6615,1,1149,1.00703,20.1889,18.29207,"",19.8958,"",0.22746,100,0.03964363,0.213,"",217.0475158,16.4810754,0.851429,"t17_f5_c3","",20.075,0.3171,"",false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58911.43123839982,"1157431230515015003",1,1157431230515,20.345467,1,1157,0.4987604,19.846123,18.55624,"",20.1004,"",0.21399489,0.05867391,0.06523042,0.2453,"",217.047453,16.4810646,0.89857143,"t17_f5_c3",0.9999935,19.9412,0.2697,580120105,false,true,false,"","bulk_1.0.0",0,1157478680515015000
"ztf",58911.47868059995,"1157478680515015004",2,1157478680515,20.191782,1,1157,0.82587886,19.7039,18.190416,"",19.6862,"",0.16573904,100,0.041117974,0.2145,"",217.0474359,16.4810541,0.9628571,"t17_f5_c3",0.9999666,19.7654,0.2934,580120205,false,true,false,"","bulk_1.0.0",0,1160507160515015000
"ztf",58914.47915509995,"1160479150515015000",1,1160479150515,19.71358,1,1160,0.32606542,19.522202,18.446888,"",19.6763,"",0.21129148,0.074127406,0.07847956,0.3796,"",217.0474195,16.4811087,0.89857143,"t17_f5_c3",0.9994457,19.6037,0.4552,580120105,false,true,false,"","bulk_1.0.0",0,1160507160515015000
"ztf",58914.50716440007,"1160507160515015005",2,1160507160515,20.70052,1,1160,0.9699975,19.377764,18.099918,"",19.4725,"",0.119285084,100,0.03676615,0.1474,"",217.047481,16.4810423,0.93142855,"t17_f5_c3",0.9998226,19.4407,0.1806,580120205,true,true,false,"","bulk_1.0.0",0,0
"ztf",59252.51793979993,"1498517930515010003",2,1498517930515,20.7979,-1,1498,0.629261,20.4647,18.69413,"",20.1995,"",0.296553,100,0.058059573,0.262,"",217.0474307,16.481146,0.722857,"t17_f5_c3","",20.0276,0.2841,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59256.42737270007,"1502427370515010007",2,1502427370515,20.639917,-1,1502,0.8637898,20.46468,18.694134,"",20.7112,"",0.19762504,100,0.03869221,0.4517,"",217.0474616,16.4810619,0.91714287,"t17_f5_c3",0.9996216,20.6379,0.5361,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59267.41659720009,"1513416590515010004",2,1513416590515,20.1448,-1,1513,0.903588,20.2221,18.7487,"",19.9965,"",0.246314,100,0.06340585,0.3166,"",217.0474685,16.4810523,0.867143,"t17_f5_c3","",19.7633,0.3271,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59275.4224537001,"1521422450515010004",2,1521422450515,19.5928,-1,1521,1.42039,19.9608,"","",19.187,"",0.25151,"","",0.2549,"",217.0475831,16.4809571,0.512857,"t17_f5_c3","",19.0918,0.2996,"",false,false,true,"","correction_0.0.1",0,""
"ztf",59291.37386569986,"1537373860515010005",2,1537373860515,20.770145,-1,1537,0.7159986,20.427162,18.701633,"",20.1203,"",0.20737723,100,0.042320374,0.2517,"",217.0474558,16.4811339,0.8542857,"t17_f5_c3",0.9994073,20.3969,0.4134,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59291.49883100018,"1537498830515010006",1,1537498830515,20.5814,-1,1537,0.413895,20.7736,19.175268,"",20.8051,"",0.309722,0.050089773,0.071062304,0.4446,"",217.0472645,16.4810698,0.938571,"t17_f5_c3","",20.8584,0.5966,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59297.3854398001,"1543385430515010005",2,1543385430515,20.0422,-1,1543,0.773988,20.149,18.768341,"",19.9749,"",0.2477,100,0.06944845,0.3478,"",217.047378,16.4810247,0.822857,"t17_f5_c3","",20.3212,0.6125,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59309.3973495001,"1555397340515015004",2,1555397340515,20.423561,1,1555,0.8219989,19.91113,18.238258,"",20.3902,"",0.19815981,100,0.04244892,0.3593,"",217.0474823,16.481122,0.94285715,"t17_f5_c3",0.99999654,20.3531,0.4408,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59363.2570369998,"1609257030515015008",1,1609257030515,20.418121,1,1609,0.60741365,20.204414,18.653492,"",20.7415,"",0.19315334,0.034226507,0.04629491,0.5229,"",217.0475005,16.4810752,0.94857144,"t17_f5_c3",0.999999,20.5191,0.5448,580120105,true,true,false,"","correction_0.0.1",0,""
"ztf",59363.35331019992,"1609353310515015005",2,1609353310515,20.1886,1,1609,0.666998,20.1158,18.27897,"",20.1185,"",0.251552,100,0.04633359,0.4144,"",217.0473846,16.4810698,0.824286,"t17_f5_c3","",19.9032,0.435,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59367.27430560021,"1613274300515015009",1,1613274300515,20.7622,1,1613,0.435647,20.4377,18.70501,"",20.3054,"",0.259535,0.041230652,0.052616246,0.2631,"",217.0474694,16.4811314,0.83,"t17_f5_c3","",20.42,0.3711,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59369.192615699954,"1615192610515015004",2,1615192610515,20.731533,1,1615,0.838377,19.251911,18.059551,"",19.39,"",0.10541684,100,0.03515327,0.1288,"",217.0474655,16.481081,0.94714284,"t17_f5_c3",0.9999999,19.2417,0.1417,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59369.250150499865,"1615250150515015008",1,1615250150515,20.934095,1,1615,0.45511082,19.554705,18.458847,"",19.5334,"",0.108841546,0.029911054,0.03966904,0.1179,"",217.0474517,16.4810834,0.94,"t17_f5_c3",0.9999967,19.7311,0.1777,580120105,true,true,false,"","correction_0.0.1",0,""
"ztf",59373.23650459992,"1619236500515015007",2,1619236500515,20.6545,1,1619,0.924991,19.3622,18.095098,"",19.3434,"",0.131181,100,0.04083477,0.121,"",217.0474965,16.4810808,0.961429,"t17_f5_c3","",19.3069,0.1473,"",false,true,false,"","correction_0.0.1",0,""
"ztf",59373.26136570005,"1619261360515015006",1,1619261360515,20.754002,1,1619,0.64234924,19.724895,18.517832,"",20.0653,"",0.13017888,0.03282135,0.042826768,0.1893,"",217.0475218,16.481095,0.94142854,"t17_f5_c3",0.99999964,20.1495,0.2583,580120105,true,true,false,"","correction_0.0.1",0,""
"ztf",59375.24826390017,"1621248260515015005",2,1621248260515,20.495499,1,1621,0.7341563,18.669903,17.829056,"",18.7886,"",0.09047993,0.013823336,0.041707456,0.0853,"",217.0474433,16.4811003,0.9657143,"t17_f5_c3",0.99999946,18.8742,0.1163,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59375.26020829985,"1621260200515015005",1,1621260200515,20.43987,1,1621,0.66376793,19.170708,18.30273,"",19.1828,"",0.11628022,0.047155768,0.052277543,0.1067,"",217.0475011,16.4810474,0.94714284,"t17_f5_c3",0.9999956,19.2503,0.1437,580120105,true,true,false,"","correction_0.0.1",0,""
"ztf",59377.234224500135,"1623234220515015006",2,1623234220515,20.649967,1,1623,0.90814865,19.9706,18.250727,"",19.9262,"",0.16528928,100,0.03390746,0.2231,"",217.047508,16.4811135,0.8428571,"t17_f5_c3",0.9999891,19.9357,0.2849,580120205,true,true,false,"","correction_0.0.1",0,""
"ztf",59423.19501159992,"1669195010515015006",1,1669195010515,20.459877,1,1669,0.619271,19.2686,18.345654,"",19.159,"",0.106982574,0.039235342,0.04572295,0.1232,"",217.0475175,16.4811194,0.9728571,"t17_f5_c3",0.9999968,19.2423,0.1687,580120105,true,true,false,"","correction_1.0.6",0,""
"ztf",59425.21469909977,"1671214690515015003",1,1671214690515,20.245218,1,1671,0.4495569,18.377356,17.87415,"",18.2977,"",0.073824234,0.043882392,0.046442628,0.0659,"",217.0474455,16.4810772,0.9628571,"t17_f5_c3",0.99999964,18.3351,0.0863,580120105,true,true,false,"","correction_1.0.6",0,""
"ztf",59427.18092590012,"1673180920515015005",2,1673180920515,20.391876,1,1673,0.7704877,18.119469,17.540573,"",18.1678,"",0.064032055,0.022391072,0.037569817,0.059,"",217.0474515,16.4810935,0.96428573,"t17_f5_c3",0.9999938,18.1792,0.0751,580120205,true,true,false,"","correction_1.0.6",0,""
"ztf",59427.2464815001,"1673246480515015005",1,1673246480515,19.861807,1,1673,0.38042897,18.68397,18.05672,"",18.7786,"",0.10044314,0.053417966,0.05636648,0.1349,"",217.0474508,16.4811233,0.9671429,"t17_f5_c3",0.9999989,18.8462,0.1832,580120105,true,true,false,"","correction_1.0.6",0,""
"ztf",59641.41638890002,"1887416380515010003",2,1887416380515,20.520897,-1,1887,0.61921614,20.259369,18.73931,"",20.1512,"",0.17545547,100,0.04326564,0.2931,"",217.0474301,16.4811455,0.94857144,"t17_f5_c3",0.99999565,19.929,0.3051,580120205,true,true,false,"","correction_1.0.6",0,""
"ztf",59707.343923599925,"1953343920515010003",2,1953343920515,20.2648,-1,1953,0.940661,20.5471,100,"",19.9282,"",0.353506,100,100,0.23,"",217.0474112,16.480991,0.452857,"t17_f5_c3","",19.9084,0.2879,"",false,true,false,"","1.1.1",0,1976256330515010000
"ztf",59730.25633100001,"1976256330515010005",2,1976256330515,20.66665,-1,1976,0.880748,20.477343,18.691671,"",20.1849,"",0.2087449,100,0.040303938,0.2815,"",217.0474786,16.4810766,0.8428571,"t17_f5_c3",0.9996493,20.5226,0.4889,580120205,true,true,false,"","1.1.2",0,""
